signal_id,title,sector,technology,date,source,source_url,evidence,severity,frequency,source_credibility,affected_roles,signal_summary,expected_signal_output,expected_role_output
SIG011,Generative and predictive AI are becoming marketing mainstays,Marketing,Generative AI / Predictive AI,2026-01-01,"Salesforce – State of Marketing, 9th Edition",https://www.salesforce.com/ap/resources/research-reports/state-of-marketing/,"Salesforce describes generative and predictive AI as becoming marketing mainstays, while marketers continue to face implementation challenges.",Medium,High,High,"[""Digital Marketing Executive""]","AI is moving from experimentation toward a standard marketing capability, raising the baseline skill expectation.","{""validated"": true, ""relevance_score"": 92, ""severity"": ""Medium"", ""reason"": ""Broad industry evidence that AI literacy is becoming a baseline marketing capability.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK012"", ""TASK013"", ""TASK017""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG011"", ""SKG013""]}]"
SIG012,"Marketers report AI-driven role transformation, not just productivity",Marketing,Generative AI,2023-06-01,Salesforce – Generative AI for marketing research,https://www.salesforce.com/news/stories/generative-ai-for-marketing-research/genai_mktresearch/,"Surveyed marketers reported heavy GenAI use for content/copy and expected changes in analysis, personalisation, campaigns and SEO.",Medium,High,High,"[""Digital Marketing Executive""]","Marketing work is shifting from manual production toward AI-supported analysis, personalisation and campaign optimisation.","{""validated"": true, ""relevance_score"": 84, ""severity"": ""Medium"", ""reason"": ""Older evidence used only to establish the direction of change; current 2026 signals should carry greater weight.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK011"", ""TASK012"", ""TASK017""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG011"", ""SKG013"", ""SKG016""]}]"
SIG013,Singapore marketers face a data-access barrier to AI-enabled personalisation,Marketing,AI + Customer Data,2026-06-16,Salesforce Singapore,https://www.salesforce.com/ap/news/press-releases/2026/06/16/87-of-singapore-marketers-confess-to-running-generic-campaigns-data-issues-are-the-biggest-barrier/,"Salesforce reported major gaps in access to service, sales and commerce data among Singapore marketers.",Medium,High,High,"[""Digital Marketing Executive""]",AI adoption alone is insufficient; marketers need stronger data fluency and cross-functional data access.,"{""validated"": true, ""relevance_score"": 94, ""severity"": ""Medium"", ""reason"": ""Singapore-specific evidence supports analytics and data skills as a complementary capability.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK013"", ""TASK017""], ""impact_level"": ""Medium"", ""affected_skills"": [""SKG013"", ""SKG015""]}]"
SIG014,AI is shifting marketing differentiation toward human brand perspective,Marketing,Generative AI,2026-04-02,HubSpot – State of Generative AI in Marketing 2026,https://blog.hubspot.com/marketing/state-of-generative-ai,HubSpot reports that 61% of marketers view brand point of view as critical when working with AI; many struggle to differentiate AI-generated content.,Medium,High,Medium,"[""Digital Marketing Executive""]","As AI makes content abundant, human judgement, brand voice and strategic differentiation become more valuable.","{""validated"": true, ""relevance_score"": 92, ""severity"": ""Medium"", ""reason"": ""Direct implication for skill shift from production toward evaluation, positioning and strategy.""}","[{""persona"": ""USER002"", ""affected_tasks"": [""TASK011"", ""TASK016""], ""impact_level"": ""High/Low"", ""affected_skills"": [""SKG012"", ""SKG016""]}]"
SIG015,Finance teams are moving toward agentic AI workflows,Finance,Agentic AI,2026-05-05,PwC – OpenAI native finance function,https://www.pwc.com/us/en/about-us/newsroom/press-releases/pwc-openai-native-finance-function.html,"PwC describes building AI agents across planning, forecasting, reporting, procurement, payments, treasury, tax and accounting close, with human supervision.",High,High,High,"[""Accounts Executive""]","AI agents are being applied across core finance operating rhythms, increasing the importance of oversight and higher-value analysis.","{""validated"": true, ""relevance_score"": 97, ""severity"": ""High"", ""reason"": ""Direct enterprise finance example spanning accounting and close workflows.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK021"", ""TASK023"", ""TASK025"", ""TASK026""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG021"", ""SKG025"", ""SKG026""]}]"
SIG016,AI-enabled invoice automation is targeting repetitive finance work,Finance,Invoice Automation / AI,2026-01-01,PwC – Invoice automation for finance operations,https://www.pwc.com/us/en/tech-effect/innovation/invoice-automation-finance-operations.html,"PwC describes AI-enabled invoice-to-cash matching, validation, configurable matching logic and automated approvals/exceptions.",High,High,High,"[""Accounts Executive""]","High-volume invoice processing is a direct automation target, creating pressure to move toward exception handling and analysis.","{""validated"": true, ""relevance_score"": 98, ""severity"": ""High"", ""reason"": ""Concrete workflow-level automation capability.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK021"", ""TASK022"", ""TASK024""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG021"", ""SKG024""]}]"
SIG017,AI agents can automate invoice validation and discrepancy checks,Finance,AI Agents / Procure-to-Pay,2026-01-01,PwC – AI agents for finance,https://www.pwc.com/us/en/tech-effect/ai-analytics/ai-agents-for-finance.html,"PwC outlines agents for invoice extraction, contract retrieval, discrepancy checks and exception drafting, with finance specialists providing approval or escalation.",High,High,High,"[""Accounts Executive""]",Transactional finance roles are increasingly moving from manual processing toward supervising exceptions and improving processes.,"{""validated"": true, ""relevance_score"": 98, ""severity"": ""High"", ""reason"": ""Highly specific task-level evidence.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK021"", ""TASK023"", ""TASK024""], ""impact_level"": ""High"", ""affected_skills"": [""SKG021"", ""SKG024"", ""SKG025""]}]"
SIG018,Singapore CFOs report low confidence in using AI despite seeing value,Finance,AI Readiness,2026-08-01,EY Singapore – 2026 DNA of the CFO,https://www.ey.com/en_sg/insights/finance/dna-of-the-cfo-survey,30% of Singapore CFO respondents rated finance-function AI preparedness as leading/advanced; less than 20% viewed their teams as highly adaptable/confident with new technology.,Medium,Medium,High,"[""Accounts Executive""]","Capability gaps can be as important as technology adoption; finance workers need AI confidence and skills, not only access to tools.","{""validated"": true, ""relevance_score"": 94, ""severity"": ""Medium"", ""reason"": ""Singapore-specific evidence directly supports an upskilling response.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK025"", ""TASK027""], ""impact_level"": ""Medium/Low"", ""affected_skills"": [""SKG022"", ""SKG025"", ""SKG026""]}]"
SIG019,AI is being used to automate reconciliations and repetitive financial reporting work,Finance,AI / Automation,2026-01-01,PwC Singapore – Intelligent automation in financial reporting,https://www.pwc.com/sg/en/services/assurance/intelligent-automation-in-financial-reporting.html,"PwC Singapore describes automation of repetitive account reconciliations and monthly-closing tasks, plus automated consolidation and reporting workflows.",High,High,High,"[""Accounts Executive""]","Reconciliation and close activities are clear automation candidates, increasing the value of analytics and exception-handling skills.","{""validated"": true, ""relevance_score"": 98, ""severity"": ""High"", ""reason"": ""Singapore professional-services source with explicit accounting workflows.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK023"", ""TASK026""], ""impact_level"": ""High/Medium"", ""affected_skills"": [""SKG021"", ""SKG022"", ""SKG024""]}]"
SIG020,Finance is shifting from transaction processing toward strategic analysis,Finance,AI / Predictive Analytics,2026-08-27,PwC – Future of finance: Moving toward an agentic office of the CFO,https://www.pwc.com/us/en/services/consulting/finance-accounting-transformation/library/future-of-finance.html,"PwC says AI and predictive analytics are enabling finance teams to focus more on profitability, forecasting and capital allocation, with people providing oversight and judgement.",High,High,High,"[""Accounts Executive""]","The long-term skill shift is from routine transaction processing to analysis, forecasting, control and strategic partnering.","{""validated"": true, ""relevance_score"": 96, ""severity"": ""High"", ""reason"": ""Directly supports the skills transition proposed for the persona.""}","[{""persona"": ""USER003"", ""affected_tasks"": [""TASK025"", ""TASK027""], ""impact_level"": ""Medium/Low"", ""affected_skills"": [""SKG022"", ""SKG026""]}]"
